"REF_DATE","GEO","DGUID","Economic family type","Household food security status","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","25.6","B","","","1"
"2023","Canada","2021A000011124","Persons not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611299","1.14.6.2","26.7","B","","","1"
"2018","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","15.3","B","","","1"
"2019","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","14.5","C","","","1"
"2020","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","14.4","B","","","1"
"2021","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","15.1","B","","","1"
"2022","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","20.6","B","","","1"
"2023","Canada","2021A000011124","Persons not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003273","1.14.3.2","21.4","B","","","1"
"2018","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","10.4","C","","","1"
"2019","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","10.0","C","","","1"
"2020","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","11.2","C","","","1"
"2021","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","12.3","C","","","1"
"2022","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","13.4","C","","","1"
"2023","Canada","2021A000011124","Seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611301","1.15.6.2","14.3","C","","","1"
"2018","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","6.9","C","","","1"
"2019","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","6.8","D","","","1"
"2020","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","7.8","C","","","1"
"2021","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","8.0","C","","","1"
"2022","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","9.7","C","","","1"
"2023","Canada","2021A000011124","Seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003283","1.15.3.2","10.4","C","","","1"
"2018","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","24.5","B","","","1"
"2019","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","24.3","C","","","1"
"2020","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","22.4","B","","","1"
"2021","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","24.0","B","","","1"
"2022","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","30.5","B","","","1"
"2023","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure","Percentage of persons","Percent","239","units","0","v1529611307","1.18.6.2","31.7","B","","","1"
"2018","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","18.9","B","","","1"
"2019","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","18.1","C","","","1"
"2020","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","17.6","C","","","1"
"2021","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","18.5","C","","","1"
"2022","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","25.0","B","","","1"
"2023","Canada","2021A000011124","Non-seniors not in an economic family","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288003313","1.18.3.2","25.8","B","","","1"
