"REF_DATE","GEO","DGUID","Demographic characteristics","Household food security status","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","9.5","C","","","1"
"2020","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","9.5","C","","","1"
"2021","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","11.0","C","","","1"
"2022","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","14.6","B","","","1"
"2023","Canada","2021A000011124","Persons 55 to 64 years","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342879","1.8.3.2","15.2","B","","","1"
"2018","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","8.1","C","","","1"
"2019","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","8.0","C","","","1"
"2020","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","8.7","B","","","1"
"2021","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","10.3","B","","","1"
"2022","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","11.7","B","","","1"
"2023","Canada","2021A000011124","Persons 65 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529611809","1.9.6.2","12.6","B","","","1"
"2018","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","5.0","C","","","1"
"2019","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","5.1","C","","","1"
"2020","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","5.7","C","","","1"
"2021","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","6.3","C","","","1"
"2022","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","8.0","B","","","1"
"2023","Canada","2021A000011124","Persons 65 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342889","1.9.3.2","9.0","B","","","1"
"2018","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","16.7","B","","","1"
"2019","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","15.6","B","","","1"
"2020","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","15.3","B","","","1"
"2021","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","18.2","B","","","1"
"2022","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","22.6","A","","","1"
"2023","Canada","2021A000011124","Males","Food insecure","Percentage of persons","Percent","239","units","0","v1529611811","1.10.6.2","25.0","A","","","1"
"2018","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","11.7","B","","","1"
"2019","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","10.6","B","","","1"
"2020","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","10.8","B","","","1"
"2021","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","12.7","B","","","1"
"2022","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","16.7","B","","","1"
"2023","Canada","2021A000011124","Males","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342899","1.10.3.2","18.8","B","","","1"
"2018","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","16.8","B","","","1"
"2019","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","16.1","B","","","1"
"2020","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","16.1","B","","","1"
"2021","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","18.7","B","","","1"
"2022","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","23.1","A","","","1"
"2023","Canada","2021A000011124","Females","Food insecure","Percentage of persons","Percent","239","units","0","v1529611819","1.14.6.2","26.0","A","","","1"
"2018","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","11.6","B","","","1"
"2019","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","11.0","B","","","1"
"2020","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","11.5","B","","","1"
"2021","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","13.1","B","","","1"
"2022","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","17.1","B","","","1"
"2023","Canada","2021A000011124","Females","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1288342939","1.14.3.2","19.5","B","","","1"
"2018","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","","..","","","1"
"2019","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","","..","","","1"
"2020","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","20.7","C","","","1"
"2021","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","24.5","B","","","1"
"2022","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","27.3","B","","","1"
"2023","Canada","2021A000011124","Visible minority population","Food insecure","Percentage of persons","Percent","239","units","0","v1529611837","1.18.6.2","32.2","B","","","1"
"2018","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","","..","","","1"
"2019","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","","..","","","1"
"2020","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","14.6","C","","","1"
"2021","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","16.8","C","","","1"
"2022","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","20.7","C","","","1"
"2023","Canada","2021A000011124","Visible minority population","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611831","1.18.3.2","24.7","B","","","1"
"2018","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","28.6","C","","","1"
"2019","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","28.5","C","","","1"
"2020","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","27.9","C","","","1"
"2021","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","30.9","C","","","1"
"2022","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","35.7","C","","","1"
"2023","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612005","1.32.6.2","38.6","C","","","1"
"2018","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","23.5","C","","","1"
"2019","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","22.3","C","","","1"
"2020","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","21.9","C","","","1"
"2021","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","24.1","C","","","1"
"2022","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","28.6","C","","","1"
"2023","Canada","2021A000011124","Indigenous population aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529611999","1.32.3.2","33.1","C","","","1"
"2018","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","22.2","C","","","1"
"2019","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","24.9","C","","","1"
"2020","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","24.3","C","","","1"
"2021","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","26.2","C","","","1"
"2022","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","28.4","C","","","1"
"2023","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure","Percentage of persons","Percent","239","units","0","v1529612065","1.37.6.2","34.4","C","","","1"
"2018","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","13.6","D","","","1"
"2019","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","15.6","D","","","1"
"2020","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","17.8","D","","","1"
"2021","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","16.8","D","","","1"
"2022","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","21.2","C","","","1"
"2023","Canada","2021A000011124","Recent immigrants (10 years or less) aged 15 years and over","Food insecure, moderate or severe","Percentage of persons","Percent","239","units","0","v1529612059","1.37.3.2","25.0","C","","","1"
